plan_id,region,year,tot_nonmiss,obs_purchase,pred_purchase
HN_SIL,4,2014,1719,25,57.874862829132
KA_BR,4,2014,1719,91,182.117036848468
KA_G,4,2014,1719,13,19.29914061516
KA_P,4,2014,1719,24,9.88673957527357
KA_SIL,4,2014,1719,241,237.732369585088
Small_BR,4,2014,1719,192,101.365879418786
Small_G,4,2014,1719,2,13.6745475984065
Small_P,4,2014,1719,4,5.48478537908026
Small_SIL,4,2014,1719,437,244.939609987531
ANT_BR,4,2015,1758,69,109.616716312962
ANT_BR_HSA,4,2015,1758,14,54.6085373396723
ANT_G,4,2015,1758,7,9.37450700847276
ANT_P,4,2015,1758,7,1.96862373272712
ANT_SIL,4,2015,1758,116,131.259016037556
BS_BR,4,2015,1758,47,98.70369603284
BS_BR_HSA,4,2015,1758,13,54.5740726566985
BS_G,4,2015,1758,33,20.7037026229145
BS_P,4,2015,1758,27,5.77354111006238
BS_SIL,4,2015,1758,274,197.27151210056
HN_BR,4,2015,1758,5,83.4867380652981
HN_G,4,2015,1758,0,4.47229230094902
HN_P,4,2015,1758,2,0.69228439366157
HN_SIL,4,2015,1758,11,54.1103058228762
KA_BR,4,2015,1758,251,223.317336809425
KA_G,4,2015,1758,25,25.7889175052662
KA_P,4,2015,1758,26,14.0025464657631
KA_SIL,4,2015,1758,363,319.624975153561
Small_BR,4,2015,1758,151,114.652768927664
Small_G,4,2015,1758,4,9.44917633865434
Small_P,4,2015,1758,4,3.60322762732628
Small_SIL,4,2015,1758,309,220.945505635088
ANT_BR,4,2016,1233,15,55.8525334034136
ANT_BR_HSA,4,2016,1233,29,40.9978151757281
ANT_G,4,2016,1233,1,2.12188460563038
ANT_P,4,2016,1233,3,0.399694596990928
ANT_SIL,4,2016,1233,28,43.8407842638163
BS_BR,4,2016,1233,48,74.9565162886848
BS_BR_HSA,4,2016,1233,3,36.6110136276431
BS_G,4,2016,1233,23,11.0357610377999
BS_P,4,2016,1233,11,0.996923193464119
BS_SIL,4,2016,1233,323,191.276313541375
HN_BR,4,2016,1233,3,50.1173697267437
HN_G,4,2016,1233,0,2.61485899173554
HN_P,4,2016,1233,0,0.491030686456658
HN_SIL,4,2016,1233,6,49.6709927774148
KA_BR,4,2016,1233,136,135.668082658778
KA_BR_HSA,4,2016,1233,36,77.986495738775
KA_G,4,2016,1233,18,15.0221957524048
KA_P,4,2016,1233,18,7.13152903233098
KA_SIL,4,2016,1233,193,159.892021261044
Small_BR,4,2016,1233,142,86.899925266929
Small_G,4,2016,1233,1,8.68869321850486
Small_P,4,2016,1233,1,3.5370752882695
Small_SIL,4,2016,1233,195,177.190489866068
ANT_BR,4,2017,1133,10,56.226237433142
ANT_BR_HSA,4,2017,1133,6,32.4169691512742
ANT_G,4,2017,1133,0,0.642346951449374
ANT_P,4,2017,1133,1,0.0827088479848137
ANT_SIL,4,2017,1133,17,18.8997438132345
BS_BR,4,2017,1133,19,39.4362182632236
BS_BR_HSA,4,2017,1133,6,25.4941763698707
BS_G,4,2017,1133,13,3.24685594415162
BS_G3,4,2017,1133,2,2.04205808365416
BS_P,4,2017,1133,6,0.197445584297939
BS_P3,4,2017,1133,0,0.187241419399726
BS_SIL,4,2017,1133,175,67.4784394899794
BS_SIL3,4,2017,1133,6,34.1230872406965
HN_BR,4,2017,1133,1,28.9504398374954
HN_G,4,2017,1133,0,0.612269049305414
HN_P,4,2017,1133,0,0.0864724422176531
HN_SIL,4,2017,1133,3,15.3654623771277
KA_BR,4,2017,1133,186,204.925378780705
KA_BR_HSA,4,2017,1133,29,101.343959257739
KA_G,4,2017,1133,14,22.11990485396
KA_G_COIN,4,2017,1133,17,34.3546956154638
KA_P,4,2017,1133,19,8.1682826638236
KA_SIL,4,2017,1133,299,207.271072582555
Small_BR,4,2017,1133,113,74.7584131388761
Small_G,4,2017,1133,2,9.28047797781787
Small_P,4,2017,1133,2,3.4902086097053
Small_SIL,4,2017,1133,187,141.799434220851
BS_BR,4,2018,1080,72,67.7799024683252
BS_BR_HSA,4,2018,1080,19,37.9032648543942
BS_G,4,2018,1080,21,2.08978626761063
BS_G3,4,2018,1080,0,1.596805448089
BS_P,4,2018,1080,11,0.0422316492358017
BS_P3,4,2018,1080,1,0.0303727011354427
BS_SIL,4,2018,1080,97,25.464652917721
BS_SIL3,4,2018,1080,25,26.6106756949583
HN_BR,4,2018,1080,2,32.602695825977
HN_G,4,2018,1080,0,0.352647768438003
HN_P,4,2018,1080,0,0.0357235024704724
HN_SIL,4,2018,1080,0,2.91782352214386
KA_BR,4,2018,1080,181,265.402611729934
KA_BR_HSA,4,2018,1080,34,137.023402374501
KA_G,4,2018,1080,50,56.0736849468339
KA_G_COIN,4,2018,1080,108,95.9793867238045
KA_P,4,2018,1080,22,20.1627580588358
KA_SIL,4,2018,1080,176,150.931131093652
Small_BR,4,2018,1080,105,47.0975665965984
Small_G,4,2018,1080,12,19.122501514526
Small_P,4,2018,1080,5,6.50384291432709
Small_SIL,4,2018,1080,139,84.2765314264889
BS_BR,4,2019,696,30,33.4235888358485
BS_BR_HSA,4,2019,696,15,18.6203379202705
BS_G,4,2019,696,13,0.722195189249989
BS_G3,4,2019,696,3,0.998357753573441
BS_P,4,2019,696,6,0.0108937120607549
BS_P3,4,2019,696,0,0.0126244921772864
BS_SIL,4,2019,696,57,9.30082137453965
BS_SIL3,4,2019,696,13,16.4539761399067
HN_BR,4,2019,696,2,12.0278500546247
HN_G,4,2019,696,0,0.0687075740666823
